Host clust2
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 120901.2039, ESS = 950 Acc. rate = 82.32% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 95737.4066, ESS = 902 Acc. rate = 79.16% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 84264.3075, ESS = 856 Acc. rate = 72.55% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 77973.2924, ESS = 813 Acc. rate = 73.80% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 73520.3618, ESS = 772 Acc. rate = 70.34% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 70630.6109, ESS = 733 Acc. rate = 67.53% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 68776.1989, ESS = 696 Acc. rate = 65.37% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67279.4168, ESS = 661 Acc. rate = 65.36% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 65945.3725, ESS = 628 Acc. rate = 65.45% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64897.2505, ESS = 596 Acc. rate = 60.57% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63689.3199, ESS = 566 Acc. rate = 59.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 62998.1247, ESS = 537 Acc. rate = 57.36% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 62042.1388, ESS = 510 Acc. rate = 58.04% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61565.3045, ESS = 1000 Acc. rate = 55.10% Uniqueness rate particules = 87.8% Uniqueness rate components = 87.8% Global parameters uniqueness rate = 87.8%

Iteration 15: Espilon = 61019.1065, ESS = 950 Acc. rate = 51.89% Uniqueness rate particules = 95.3% Uniqueness rate components = 95.3% Global parameters uniqueness rate = 95.3%

Iteration 16: Espilon = 60515.3209, ESS = 902 Acc. rate = 54.32% Uniqueness rate particules = 97.4% Uniqueness rate components = 97.4% Global parameters uniqueness rate = 97.4%

Iteration 17: Espilon = 59929.8955, ESS = 856 Acc. rate = 52.57% Uniqueness rate particules = 97.9% Uniqueness rate components = 97.9% Global parameters uniqueness rate = 97.9%

Iteration 18: Espilon = 59389.1023, ESS = 813 Acc. rate = 55.47% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 19: Espilon = 58649.5479, ESS = 772 Acc. rate = 54.66% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 20: Espilon = 57647.2662, ESS = 733 Acc. rate = 55.25% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 21: Espilon = 56807.8606, ESS = 696 Acc. rate = 56.18% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 22: Espilon = 55877.2223, ESS = 661 Acc. rate = 56.43% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 23: Espilon = 55271.1696, ESS = 628 Acc. rate = 55.73% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 24: Espilon = 54540.5901, ESS = 596 Acc. rate = 52.68% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 25: Espilon = 53517.6956, ESS = 566 Acc. rate = 51.06% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 26: Espilon = 52311.2504, ESS = 537 Acc. rate = 52.51% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 27: Espilon = 50873.7826, ESS = 510 Acc. rate = 50.98% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Resampling... 484 unique particles left
Iteration 28: Espilon = 49752.8727, ESS = 1000 Acc. rate = 53.00% Uniqueness rate particules = 87.9% Uniqueness rate components = 87.9% Global parameters uniqueness rate = 87.9%

Iteration 29: Espilon = 48322.4902, ESS = 950 Acc. rate = 56.32% Uniqueness rate particules = 95.2% Uniqueness rate components = 95.2% Global parameters uniqueness rate = 95.2%

Iteration 30: Espilon = 46736.5715, ESS = 902 Acc. rate = 52.66% Uniqueness rate particules = 97.0% Uniqueness rate components = 97.0% Global parameters uniqueness rate = 97.0%

Iteration 31: Espilon = 44866.4162, ESS = 856 Acc. rate = 50.82% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 32: Espilon = 43268.5102, ESS = 813 Acc. rate = 50.80% Uniqueness rate particules = 97.4% Uniqueness rate components = 97.4% Global parameters uniqueness rate = 97.4%

Iteration 33: Espilon = 41155.4649, ESS = 772 Acc. rate = 48.70% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 34: Espilon = 39757.6837, ESS = 733 Acc. rate = 48.70% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 35: Espilon = 38030.8926, ESS = 696 Acc. rate = 50.29% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Iteration 36: Espilon = 36554.4799, ESS = 661 Acc. rate = 49.32% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 37: Espilon = 34627.3956, ESS = 628 Acc. rate = 48.89% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 38: Espilon = 32405.5625, ESS = 596 Acc. rate = 50.17% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 39: Espilon = 30908.2764, ESS = 566 Acc. rate = 48.59% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 40: Espilon = 29331.7266, ESS = 537 Acc. rate = 49.72% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 41: Espilon = 27760.9090, ESS = 510 Acc. rate = 48.63% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Resampling... 480 unique particles left
Iteration 42: Espilon = 26123.2067, ESS = 1000 Acc. rate = 50.40% Uniqueness rate particules = 85.7% Uniqueness rate components = 85.7% Global parameters uniqueness rate = 85.7%

Iteration 43: Espilon = 24542.0159, ESS = 950 Acc. rate = 44.53% Uniqueness rate particules = 92.8% Uniqueness rate components = 92.8% Global parameters uniqueness rate = 92.8%

Iteration 44: Espilon = 22387.0980, ESS = 902 Acc. rate = 46.45% Uniqueness rate particules = 95.2% Uniqueness rate components = 95.2% Global parameters uniqueness rate = 95.2%

Iteration 45: Espilon = 20719.5654, ESS = 856 Acc. rate = 45.21% Uniqueness rate particules = 96.2% Uniqueness rate components = 96.2% Global parameters uniqueness rate = 96.2%

Iteration 46: Espilon = 19086.1538, ESS = 813 Acc. rate = 45.39% Uniqueness rate particules = 96.5% Uniqueness rate components = 96.5% Global parameters uniqueness rate = 96.5%

Iteration 47: Espilon = 17345.7242, ESS = 772 Acc. rate = 48.70% Uniqueness rate particules = 96.5% Uniqueness rate components = 96.5% Global parameters uniqueness rate = 96.5%

Iteration 48: Espilon = 16040.4644, ESS = 733 Acc. rate = 45.16% Uniqueness rate particules = 96.6% Uniqueness rate components = 96.6% Global parameters uniqueness rate = 96.6%

Iteration 49: Espilon = 14316.1835, ESS = 696 Acc. rate = 41.52% Uniqueness rate particules = 96.6% Uniqueness rate components = 96.6% Global parameters uniqueness rate = 96.6%

Iteration 50: Espilon = 12259.3068, ESS = 662 Acc. rate = 42.90% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 51: Espilon = 11167.2398, ESS = 628 Acc. rate = 45.86% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 52: Espilon = 9993.2023, ESS = 596 Acc. rate = 47.82% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 53: Espilon = 8586.0711, ESS = 566 Acc. rate = 43.11% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 54: Espilon = 7221.1676, ESS = 537 Acc. rate = 43.20% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 55: Espilon = 5964.4280, ESS = 510 Acc. rate = 40.98% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Resampling... 477 unique particles left
Iteration 56: Espilon = 4928.4615, ESS = 1000 Acc. rate = 41.60% Uniqueness rate particules = 80.0% Uniqueness rate components = 80.0% Global parameters uniqueness rate = 80.0%

Iteration 57: Espilon = 4793.4701, ESS = 950 Acc. rate = 39.79% Uniqueness rate particules = 90.5% Uniqueness rate components = 90.5% Global parameters uniqueness rate = 90.5%

