Host : clust2
Date : Fri Apr 18 03:42:22 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 132934.9461, ESS = 950 Acc. rate = 83.68% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 100793.3488, ESS = 902 Acc. rate = 80.82% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 86724.8192, ESS = 856 Acc. rate = 78.39% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 80224.4597, ESS = 813 Acc. rate = 73.31% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 74971.0685, ESS = 772 Acc. rate = 71.63% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 71465.6598, ESS = 733 Acc. rate = 70.53% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 69162.9221, ESS = 696 Acc. rate = 63.94% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67816.8866, ESS = 661 Acc. rate = 65.20% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 66204.5792, ESS = 628 Acc. rate = 61.94% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64881.4831, ESS = 596 Acc. rate = 55.87% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63975.2362, ESS = 566 Acc. rate = 59.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 63032.5846, ESS = 537 Acc. rate = 59.40% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 62314.8205, ESS = 510 Acc. rate = 59.80% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61661.0975, ESS = 1000 Acc. rate = 56.60% Uniqueness rate particules = 88.5% Uniqueness rate components = 88.5% Global parameters uniqueness rate = 88.5%

Iteration 15: Espilon = 61223.9819, ESS = 951 Acc. rate = 55.63% Uniqueness rate particules = 96.1% Uniqueness rate components = 96.1% Global parameters uniqueness rate = 96.1%

Iteration 16: Espilon = 60555.6253, ESS = 903 Acc. rate = 51.27% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 17: Espilon = 59950.9697, ESS = 857 Acc. rate = 56.48% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 18: Espilon = 59343.3892, ESS = 814 Acc. rate = 53.19% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 19: Espilon = 58548.3160, ESS = 773 Acc. rate = 56.40% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 20: Espilon = 57477.0060, ESS = 734 Acc. rate = 54.77% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 21: Espilon = 56465.1244, ESS = 697 Acc. rate = 54.66% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 22: Espilon = 55240.6222, ESS = 662 Acc. rate = 54.23% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 23: Espilon = 54249.2869, ESS = 628 Acc. rate = 52.39% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 24: Espilon = 53083.3149, ESS = 596 Acc. rate = 56.04% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 25: Espilon = 51435.0877, ESS = 566 Acc. rate = 56.54% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 26: Espilon = 49878.4188, ESS = 537 Acc. rate = 52.70% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 27: Espilon = 47970.4195, ESS = 510 Acc. rate = 56.27% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Resampling... 484 unique particles left
Iteration 28: Espilon = 46260.8405, ESS = 1000 Acc. rate = 53.20% Uniqueness rate particules = 86.8% Uniqueness rate components = 86.8% Global parameters uniqueness rate = 86.8%

