method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0081698429584503,1000000.0,8.169842958450317,20.95967156788282,23.95039936166608,16036.901943510342,27.631021114605225,7.45544834219189,9.992560622296471,12.88461863275298,13.544738143419188,15,1,True,42,
ABC-Vanilla,2154.434690031884,0.017601393081798,464158.8833612779,3.7921051848312985,11.636635397342204,23.92582691091658,16324.235130076524,27.631021114501408,7.713891007443127,9.975341551381936,13.015704443356231,13.710652618417756,15,1,True,42,
ABC-Vanilla,4641.588833612778,0.0379210518483129,215443.4690031884,1.760139308179808,10.363660220320504,23.974826800043992,16036.372882480056,27.63102111456642,7.484187690458613,10.011502342435987,12.888042010901897,13.558862387273669,15,1,True,42,
ABC-Vanilla,10000.0,0.0816984295845031,100000.0,0.8169842958450317,9.478851309439776,23.925255410491424,16473.69858503447,27.63102111454037,7.612651797009283,10.002067066142896,12.984404338890586,13.63345190157352,15,1,True,42,
ABC-Vanilla,21544.34690031884,0.1760139308179807,46415.88833612779,0.3792105184831298,8.775873342396943,23.92089314645359,16071.175221857346,27.63102111456084,7.800927389393477,9.95933606916076,12.96733620359496,13.646881144686006,15,1,True,42,
ABC-Vanilla,46415.88833612777,0.3792105184831296,21544.346900318847,0.1760139308179808,8.183695084787807,23.902726441220743,16175.025258993554,27.631021114497333,7.737093118065809,9.975494476206975,12.953452810878712,13.6122929636349,15,1,True,42,
ABC-Vanilla,100000.0,0.8169842958450317,10000.0,0.0816984295845031,7.668192321486597,23.95263626169487,15918.172546039466,27.631021114582804,7.553956172193236,10.000495040995888,12.84507063877128,13.516069624706136,15,1,True,42,
ABC-Vanilla,215443.4690031882,1.7601393081798062,4641.588833612783,0.037921051848313,7.202081895807725,23.97479663757644,16273.104474198351,27.631021114627867,7.895585877354867,10.00842518930732,12.953331569459571,13.620502902976474,15,1,True,42,
ABC-Vanilla,464158.8833612778,3.7921051848312977,2154.434690031884,0.017601393081798,6.780671138533986,23.971030166835703,16451.632019346882,27.63102111458677,7.615809933627468,10.007563360716356,12.9273494714869,13.661710419273804,15,1,True,42,
ABC-Vanilla,1000000.0,8.169842958450317,1000.0,0.0081698429584503,6.385115676148711,23.938815345495104,16418.20534189224,27.63102111460275,7.654503794113059,9.99154500209757,12.944724838627552,13.63484742550871,15,1,True,42,
permABC-Vanilla,1000.0,0.0199410626888275,1000000.0,19.941062688827515,13.069390954048634,23.891522363551,2864.028982089694,27.63102111449655,6.247782804849574,9.968852827997608,4.820306850116722,5.690502381724984,15,1,True,42,
