method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.025786673307418823,1000000.0,25.786673307418823,9.466104732278493,23.96653718452498,55647.08074054474,27.631021114556038,7.758448851846104,10.018066821131702,13.316207294721346,14.05202871087069,50,1,False,42
ABC-Vanilla,2154.4346900318833,0.05555570351402231,464158.8833612779,11.969113487973592,6.5799851584734705,23.95038811294812,56517.93298693409,27.631021114574864,7.642788531511354,10.044109060630122,13.29084494020293,14.073371421858063,50,1,False,42
ABC-Vanilla,4641.588833612778,0.11969113487973589,215443.4690031884,5.555570351402233,6.192485122297311,23.919552702735224,56006.298905326694,6.906754777296125,7.785411801646145,10.006427701511587,13.337761204209961,14.112902270274237,50,1,False,42
ABC-Vanilla,10000.0,0.2578667330741882,100000.0,2.5786673307418826,5.921276466436494,23.948499570426826,54901.965970746256,27.631021114552812,7.679529916157578,10.00181362400915,13.296641197696019,14.062569186441081,50,1,False,42
ABC-Vanilla,21544.346900318837,0.5555570351402231,46415.88833612779,1.1969113487973593,5.703875590792144,23.91576815423254,54980.85715000392,27.631021114510773,7.70393758989493,9.990448473109112,13.321669202933924,14.034733612154687,50,1,False,42
ABC-Vanilla,46415.88833612777,1.1969113487973586,21544.346900318847,0.5555570351402235,5.518702405579183,23.963948456123685,56949.15894654332,27.631021114574896,7.788877549951228,10.035726062892401,13.33752740988944,14.132846590336822,50,1,False,42
ABC-Vanilla,100000.0,2.578667330741882,10000.0,0.2578667330741882,5.354125986326159,23.942746335723633,56065.67165978302,27.6310211145541,7.6922127708955035,10.012001209681427,13.390069323635295,14.159899939238036,50,1,False,42
ABC-Vanilla,215443.4690031882,5.555570351402228,4641.588833612783,0.11969113487973601,5.20981518153248,23.957630824609584,56753.87916340802,27.631021114534732,7.720448009146943,10.035585622577747,13.348213799384178,14.091495798947163,50,1,False,42
ABC-Vanilla,464158.8833612778,11.969113487973589,2154.434690031884,0.05555570351402234,5.076590967150519,23.95573905207788,56786.936861633054,27.631021114574857,7.756691619166764,10.029989278534009,13.370466377210779,14.167653559556177,50,1,False,42
ABC-Vanilla,1000000.0,25.786673307418823,1000.0,0.025786673307418823,4.950946033102214,23.954780444245085,57072.83207905963,27.631021114534494,7.729909656150197,10.045852916935889,13.325415791955518,14.12063336390405,50,1,False,42
permABC-Vanilla,1000.0,0.06047118878364563,1000000.0,60.47118878364563,3.39054096164036,23.991742067665424,2909.951831097505,27.63102111468084,2.135863052796485,10.017179711371318,1.8759188028780047,2.460631051500276,50,1,False,42
permABC-Vanilla,2154.4346900318833,0.13028122686295307,464158.8833612779,28.06823946134599,1.1971129428593612,23.95732876377879,2138.74266018577,27.631021114635644,1.1405153059478021,10.044670652896672,1.2673789760132401,1.9355867374719702,50,1,False,42
permABC-Vanilla,4641.588833612778,0.28068239461345984,215443.4690031884,13.02812268629531,0.9991993396758205,23.953995941053265,1829.5356101022485,27.631021114677022,0.7648471782445856,10.035510081430726,1.0244757856232924,1.7413017717687445,50,1,False,42
permABC-Vanilla,10000.0,0.6047118878364562,100000.0,6.0471188783645635,0.8794844998952931,24.02686748748595,1661.3949991577697,27.631021114744648,0.556478840429879,10.090610878748437,0.8622030879319097,1.6298118898491925,50,1,False,42
permABC-Vanilla,21544.346900318837,1.302812268629531,46415.88833612779,2.806823946134599,0.7955678939147925,24.047630062142986,1570.8484504701864,27.631021114768274,0.43430786412764205,10.161830248878719,0.7647711885400476,1.5741663714973486,50,1,False,42
permABC-Vanilla,46415.88833612777,2.8068239461345974,21544.346900318847,1.3028122686295316,0.732860287772219,24.111554442319523,1455.9384233934938,27.63102111477384,0.3400286904968718,10.167670357387712,0.6716211154642078,1.52333408083191,50,1,False,42
permABC-Vanilla,100000.0,6.047118878364563,10000.0,0.6047118878364564,0.6833469572213466,24.16898418938886,1401.9114324160732,27.63102111485954,0.28928249647414545,10.200639945386033,0.6300270770814211,1.5029053672592623,50,1,False,42
permABC-Vanilla,215443.4690031882,13.028122686295298,4641.588833612783,0.28068239461346006,0.6429495825806082,24.178972252283454,1354.1930700695011,27.631021114902886,0.2583187627979878,10.21256306064206,0.6018274609115318,1.4859459865935893,50,1,False,42
permABC-Vanilla,464158.8833612778,28.068239461345982,2154.434690031884,0.13028122686295313,0.6088274259745816,24.206421017135092,1305.8927221166505,27.631021114966217,0.2265309368224551,10.217731255815584,0.5641592578796119,1.4726161583840973,50,1,False,42
permABC-Vanilla,1000000.0,60.47118878364563,1000.0,0.06047118878364563,0.5804873105307995,24.240549328135344,1271.1757855186281,27.631021114948883,0.20996800582382935,10.242458981996792,0.5427393678147631,1.4631455057155092,50,1,False,42
ABC-SMC,950.0,0.016811256408691407,47500.0,0.8405628204345703,7.590377735414713,23.9398503328959,55662.28863900498,27.631021114634002,7.792043221470731,10.028947968584758,13.235045238191859,14.009994342953753,50,1,False,42
ABC-SMC,1852.0,0.02556271553039551,92600.0,1.2781357765197754,7.3375350048149794,23.93657619079891,54905.74754103279,27.6310211146338,7.782725965118772,10.028235840595505,13.140338884877206,13.899838838834519,50,1,False,42
ABC-SMC,2708.0,0.03406849384307861,135400.0,1.7034246921539307,7.2339020002268715,23.943512296416444,53848.48352326616,27.63102111465452,7.787416276421893,10.02337805306336,13.058991105506065,13.806513405739768,50,1,False,42
ABC-SMC,3521.0,0.04363823413848877,176050.0,2.1819117069244385,7.1141618064087195,23.941301749409536,53718.60978951354,27.631021114654583,7.791979517291254,10.028811901613906,12.980088666515222,13.71802344141597,50,1,False,42
ABC-SMC,4293.0,0.052999167442321776,214650.0,2.649958372116089,7.0541012997478845,23.94440938008104,53375.32351680231,27.631021114654622,7.777313009433023,10.033010854414348,12.913788961719034,13.650705387417977,50,1,False,42
ABC-SMC,5026.0,0.062428312301635744,251300.0,3.121415615081787,6.9827735256688,23.94794971671928,52516.0927818474,27.631021114654448,7.762917701187676,10.027598597562458,12.844988101869308,13.573967502846727,50,1,False,42
ABC-SMC,5722.0,0.07145095825195313,286100.0,3.5725479125976562,6.9233767526170835,23.94453970597338,51975.57679491125,27.631021114654548,7.75499976388582,10.0248197196572,12.779884305370922,13.504977890247462,50,1,False,42
ABC-SMC,6383.0,0.08088459968566894,319150.0,4.044229984283447,6.881799519027647,23.949909274146254,51399.00696837922,27.63102111469648,7.760549595292953,10.023587627881373,12.724154119406833,13.448953332865695,50,1,False,42
ABC-SMC,7011.0,0.09031078338623047,350550.0,4.515539169311523,6.8327948988196,23.95833452519265,50690.185131941085,27.63102111471766,7.774008087601677,10.019086592693895,12.67219423724179,13.380089379315118,50,1,False,42
ABC-SMC,7607.0,0.09962907791137696,380350.0,4.981453895568848,6.789017559360019,23.964866084714725,49946.989398653765,27.631021114738836,7.771076740726795,10.01305405682621,12.616293591343283,13.319591478985586,50,1,False,42
ABC-SMC,8173.0,0.10885364532470702,408650.0,5.442682266235352,6.7511378489970575,23.964223305648225,49516.66140620897,27.631021114738903,7.801441693150761,10.013109929877237,12.553841822753016,13.25106453106325,50,1,False,42
ABC-SMC,8710.0,0.11782258033752441,435500.0,5.891129016876221,6.705278009865702,23.96166778816474,49024.92979833726,27.631021114738523,7.7987020976616614,10.008625703621785,12.499684845129956,13.190081819686801,50,1,False,42
ABC-SMC,9220.0,0.12707215309143066,461000.0,6.353607654571533,6.657729136451221,23.963343342810482,48311.04681415537,27.63102111473841,7.7835201103782365,10.000413552336608,12.442563886127962,13.128650724922421,50,1,False,42
ABC-SMC,21115.702479338845,0.2734252933628303,511000.0,6.616892099380493,6.6180915260840845,23.958384895252355,48172.05274791389,27.631021114737948,7.8350208499337555,10.004077770920258,12.408638875380698,13.088524109094841,50,1,False,42
ABC-SMC,23078.512396694216,0.2761014236891565,558500.0,6.681654453277588,6.590543805191421,23.96915933653674,48037.55752354172,27.63102111475901,7.828527468692991,10.009160247935016,12.369503617936196,13.041903404983646,50,1,False,42
ABC-SMC,24942.14876033058,0.2783571885637015,603600.0,6.736243963241577,6.548977303525406,23.964592802060338,48063.11731597087,27.631021114758664,7.814168360656293,10.014870640032845,12.323606912254505,12.987591480862532,50,1,False,42
ABC-SMC,26712.80991735537,0.29758065200049033,646450.0,7.201451778411865,6.509424769100633,23.96995095462593,47744.95461817469,27.631021114759324,7.818543963436395,10.01944442167807,12.275940137263133,12.940971525804379,50,1,False,42
ABC-SMC,28396.69421487603,0.31622245292033047,687200.0,7.652583360671997,6.478817405627638,23.975198613098023,46970.87355884496,27.63102111475979,7.840531631505266,10.010584805204948,12.23427332210324,12.901563233012004,50,1,False,42
ABC-SMC,29995.86776859504,0.3329945103196073,725900.0,8.058467149734497,6.4538053592663,23.999224736062086,47148.01583598355,27.63102111480295,7.885624651935407,10.032408293688862,12.197070417812846,12.851243698890835,50,1,False,42
ABC-SMC,31516.528925619834,0.3500800388903657,762700.0,8.47193694114685,6.412562975569248,23.99554628935033,47033.957551209336,27.631021114802568,7.930228659805908,10.032050160794165,12.158156918190913,12.815749108657032,50,1,False,42
ABC-SMC,32962.80991735537,0.3674924373626709,797700.0,8.893316984176636,6.391197535159184,23.997558763371014,46818.72490243544,27.631021114802476,7.943317560063114,10.031704221486441,12.122510016786588,12.771835557907563,50,1,False,42
ABC-SMC,34338.84297520661,0.38698999349735985,831000.0,9.365157842636108,6.3704805368447595,24.014439843720325,46767.806564296574,27.631021114803584,7.9549068850250295,10.043180149478868,12.090938839187183,12.73596145996573,50,1,False,42
ABC-SMC,35644.628099173555,0.40461058459006066,862600.0,9.791576147079468,6.34066455873478,24.00632210474067,46235.2662269508,27.631021114802856,7.940317248494027,10.033292190767154,12.048855632100524,12.690988532061048,50,1,False,42
ABC-SMC,36888.42975206611,0.4210767076035177,892700.0,10.190056324005127,6.326267604810471,23.99833320367711,45825.24287749108,27.631021114802152,7.977704471520948,10.026277444966253,12.015540158226251,12.660829249137077,50,1,False,42
ABC-SMC,38068.18181818182,0.43746260572070916,921250.0,10.586595058441162,6.304797512725387,23.99207459934795,45588.72032409341,27.63102111480151,8.064228265653268,10.019455645378464,11.983877535252155,12.620439848379934,50,1,False,42
ABC-SMC,39188.016528925626,0.45495065775784577,948350.0,11.009805917739868,6.285444969961599,23.994512482338706,45245.07465220841,27.631021114801403,8.107617168936018,10.019406950777087,11.94440470214907,12.58233637884827,50,1,False,42
ABC-SMC,40252.06611570247,0.47375867189454635,974100.0,11.464959859848022,6.271460239893203,23.99690388777394,45092.551094383074,27.631021114801428,8.13075900244271,10.019748195630148,11.905334581744713,12.529486575035634,50,1,False,42
ABC-SMC,86421.94092827005,0.9749039114779058,1024100.0,11.552611351013184,6.250197515805231,23.98586618887444,44821.27326578599,27.631021114800717,8.099196357389316,10.012150026288984,11.876231988291375,12.504340269000817,50,1,False,42
ABC-SMC,90430.37974683545,0.9800830873255991,1071600.0,11.61398458480835,6.233923017333747,23.979991418675844,44749.169719551785,27.63102111480008,8.150964501733933,10.01118207872531,11.833018009315456,12.4603934003151,50,1,False,42
ABC-SMC,94248.94514767932,1.018219436774274,1116850.0,12.065900325775146,6.220341286221112,23.998923449500563,44464.43740438481,27.6310211148227,8.158013484398985,10.019291954559593,11.797737757953247,12.415572811693165,50,1,False,42
ABC-SMC,97886.07594936708,1.0590597547056302,1159950.0,12.549858093261719,6.207849553469245,24.006047994451254,44348.210321042796,27.6310211148227,8.161180156371548,10.020291738311247,11.761498184843097,12.38597982839046,50,1,False,42
ABC-SMC,101341.77215189874,1.0947604521417418,1200900.0,12.972911357879639,6.18773176993648,24.012848070437705,44656.3537056293,27.63102111482299,8.181617232613199,10.032589790868954,11.734151414890311,12.348981328327131,50,1,False,42
ABC-SMC,104637.13080168776,1.131145280121751,1239950.0,13.404071569442749,6.175744254027504,24.008201892908424,44594.844925499274,27.63102111482244,8.145969884268792,10.030718913369558,11.700262356606164,12.317461543318334,50,1,False,42
ABC-SMC,107772.15189873418,1.1666476173239921,1277100.0,13.824774265289307,6.151993405014823,24.003435414843793,44000.722858315276,27.63102111482207,8.097573041504383,10.016071063384812,11.664258003759477,12.279549250789374,50,1,False,42
ABC-SMC,110755.27426160338,1.2028736806620022,1312450.0,14.254053115844727,6.132251573073755,23.998333116246343,44110.65709087739,27.631021114821593,8.105172798448141,10.019215075137407,11.625042650838102,12.240531442018463,50,1,False,42
