method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,M0,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.15056029005578933,5000.0,0.15056029005578933,42.960385179845375,24.3153757064103,6383.064820201855,27.63101927728617,8.032848280200165,9.889469777002619,15.071976725946083,14.586738917210731,,5,0,True,45
ABC-Vanilla,2154.4346900318833,0.3243723118374549,10772.173450159416,0.3243723118374549,22.90196838794698,24.2876498191879,7189.139520574548,27.631019277285475,8.13124734614345,10.040014499573676,15.095805367986713,14.660525429341998,,5,0,True,45
ABC-Vanilla,4641.588833612778,0.6988389611084528,23207.944168063892,0.6988389611084528,18.3907056643164,24.41719872180544,7810.785655749601,27.631019277333216,6.4325058550330585,10.09057220539317,15.421488082435408,14.910810239365125,,5,0,True,45
ABC-Vanilla,10000.0,1.5056029005578933,50000.0,1.5056029005578933,16.398539358510444,24.382831820553296,8363.166525716348,27.63101927735439,7.829212856029452,10.115735334373186,15.297447763555018,15.084171727247247,,5,0,True,45
ABC-Vanilla,21544.346900318837,3.24372311837455,107721.73450159418,3.24372311837455,14.951225109190489,25.237708992914804,8672.197944862135,27.631019277732,8.26373811824158,10.220583135615598,15.13730786555901,15.12514241403591,,5,0,True,45
ABC-Vanilla,46415.88833612777,6.988389611084526,232079.44168063885,6.988389611084526,13.335546936193149,25.724866369349478,9446.928406320972,27.631019277853234,10.104357241566927,10.289946172696498,15.509285190978119,,,5,0,True,45
ABC-Vanilla,100000.0,15.056029005578933,500000.0,15.056029005578933,11.614102283580586,,,,10.403802019421839,,,,,5,0,True,45
ABC-Vanilla,215443.4690031882,32.437231183745475,1077217.345015941,32.437231183745475,11.102816040833348,,,,4.708850434802988,,,,,5,0,True,45
ABC-Vanilla,464158.8833612778,69.88389611084527,2320794.416806389,69.88389611084527,10.405077435750716,,,,3.6255521413565464,,,,,5,0,True,45
ABC-Vanilla,1000000.0,150.56029005578932,5000000.0,150.56029005578932,9.526889288356417,,,,3.6255521413565464,,,,,5,0,True,45
permABC-Vanilla,1000.0,0.06346452340440221,5000.0,0.06346452340440221,27.255552308870154,24.381292443730388,2995.731938532125,27.631019277309893,9.851350581216906,10.172007127941587,8.9800781369164,9.38021378740442,,5,0,True,45
permABC-Vanilla,2154.4346900318833,0.1367301708087845,10772.173450159416,0.1367301708087845,13.092486464846228,24.53995166295116,1521.4747579109046,27.631019277380833,9.0459138089312,10.07469242467517,6.6373572131475,7.555733275622455,,5,0,True,45
permABC-Vanilla,4641.588833612778,0.29457622316443016,23207.944168063892,0.29457622316443016,10.808736457719553,24.481731029744687,1159.453026474411,27.63101927740199,8.552842038709686,10.037953538364619,5.430231370684731,6.761263265916497,,5,0,True,45
permABC-Vanilla,10000.0,0.6346452340440222,50000.0,0.6346452340440222,9.135136414477522,24.52631551485944,774.5962046680906,27.631019277424944,7.275471199488434,9.994601836875352,4.220706197568347,5.842231132007574,,5,0,True,45
permABC-Vanilla,21544.346900318837,1.3673017080878451,107721.73450159418,1.3673017080878451,7.495732986965143,24.94507579121954,532.4330538718742,27.631019277659217,5.932062267759177,9.949635446048838,3.2416834388229305,5.248886021247089,,5,0,True,45
permABC-Vanilla,46415.88833612777,2.945762231644301,232079.44168063885,2.945762231644301,6.283240718531613,25.551579574209494,432.9399977475051,27.631019277828372,5.972925151654325,9.978148287603368,2.7364837416121963,,,5,0,True,45
permABC-Vanilla,100000.0,6.346452340440222,500000.0,6.346452340440222,5.593347764639321,,,,5.848442246682008,,,,,5,0,True,45
permABC-Vanilla,215443.4690031882,13.673017080878441,1077217.345015941,13.673017080878441,4.963088301847526,,,,4.851031048203142,,,,,5,0,True,45
permABC-Vanilla,464158.8833612778,29.457622316443015,2320794.416806389,29.457622316443015,3.847220573927192,,,,4.300510054827432,,,,,5,0,True,45
permABC-Vanilla,1000000.0,63.464523404402215,5000000.0,63.464523404402215,3.3788497711508336,,,,4.300510054827432,,,,,5,0,True,45
ABC-SMC,940.0,1.0168981552124023,235.0,0.05084490776062012,31.981754047347007,24.593764310630696,7235.6716651083825,27.631019277449226,9.637133288975168,10.122043459877833,15.393759518269613,14.825922499176958,,5,0,True,45
ABC-SMC,1979.5918367346937,1.0849359084148795,485.0,0.0531618595123291,31.981754047347007,24.648086353079073,7339.573903402279,27.631019277472863,9.877713812884526,10.14976245728992,15.277390612343552,14.748830819479034,,5,0,True,45
ABC-PMC,6250.0,86.62930130958557,500.0,1.3860688209533691,29.867754408804547,26.079267154806228,8896.561210577134,27.63101927778616,8.902255085484807,10.303787843012469,15.511335328991759,15.064533085956088,,5,0,True,45
ABC-PMC,17187.5,196.439728140831,1375.0,3.143035650253296,28.238483603076343,25.208237609046087,6695.228994478258,27.631019277663153,8.179551881907209,10.205257030487042,13.787949168757432,13.488985243320576,,5,0,True,45
ABC-PMC,23095.238095238095,249.62883903866722,2425.0,5.242205619812012,26.251315742919413,25.020594258654455,5701.212896474292,27.631019277592817,10.228022363423934,9.987339415117903,13.907209671615979,13.502595864917492,,5,0,True,45
ABC-PMC,32523.809523809527,366.1809762318929,3415.0,7.689800500869751,25.93940815719115,25.199157075551636,5100.039404921831,27.631019277663334,13.485156951395766,9.85654748540344,13.870104181046944,13.48042084563338,,5,0,True,45
permABC-SMC,940.0,6.063356399536133,235.0,0.30316781997680664,19.719987479808832,24.468552065565373,2733.6666212586124,27.631019277379153,9.380408640039285,10.039963100171672,9.334386164384085,9.655075491674243,,5,0,True,45
permABC-SMC,1820.0,8.201093673706055,455.0,0.41005468368530273,18.720194369993223,24.494599820729658,2602.728413552584,27.631019277402032,9.529644035661205,10.031647779234024,9.098673339338761,9.441411357497703,,5,0,True,45
permABC-SMC,2640.0,10.65803050994873,660.0,0.5329015254974365,18.063361904531206,24.532228806242916,2604.146908845949,27.631019277425214,9.975653482336185,10.074653469230281,8.891388119986052,9.264538557724833,,5,0,True,45
permABC-SMC,3420.0,13.139452934265137,855.0,0.6569726467132568,17.154699251811575,24.578220384586704,2460.9923529086177,27.631019277448623,9.979637856381938,10.053407213741089,8.737777140611469,9.149424046469464,,5,0,True,45
permABC-SMC,4160.0,15.582618713378906,1040.0,0.7791309356689453,16.53268437869765,24.588943391245486,2315.9959809651355,27.631019277448743,10.195625939404968,10.027355573077246,8.628576803262183,9.051446794493492,,5,0,True,45
permABC-SMC,4860.0,18.02680015563965,1215.0,0.9013400077819824,16.27052813967856,24.597801575364894,2266.024961395888,27.631019277448793,10.19953279744475,10.019159849761287,8.463915142465657,8.97924643960503,,5,0,True,45
permABC-SMC,7325.0,28.544050455093384,1465.0,1.1417620182037354,16.27052813967856,24.52810227069503,2171.617614094897,27.631019277402988,9.727013784239482,10.03648072778287,8.30477511387058,8.78967363071217,,5,0,True,45
permABC-SMC-OS,2244.8979591836733,1.7346265364666373,550.0,0.08499670028686523,16.468179660543605,24.48540003114816,1792.8459052246935,27.63101927740216,8.750337432992245,9.842698688373964,7.897827658455361,8.515128064278262,7.0,5,0,True,45
permABC-SMC-OS,7255.31914893617,7.288009562390916,1705.0,0.34253644943237305,12.52266388012631,24.524975310626694,1365.0848024084278,27.63101927738042,8.033482206539507,10.069817861044589,5.881732712023581,7.189317192872847,10.0,5,0,True,45
permABC-SMC-OS,37019.04761904762,31.252372832525342,7774.0,1.3125996589660645,5.774505946593107,25.11227237308136,399.1899471262558,27.63101927761663,4.164524559436044,10.207316740359362,2.4722218149349104,4.888859926137264,25.0,5,0,True,45
permABC-SMC-OS,56120.0,32.93293118476868,11224.0,1.317317247390747,4.363222172715049,24.719056521183475,260.36688450488566,27.631019277474312,2.42143407889633,9.9049050347778,1.6257758736281267,4.484529361092643,35.0,5,0,True,45
