Host : clust2
Date : Fri Apr 18 18:15:10 CEST 2025
Cœurs CPU alloués : 10
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 122952.5768, ESS = 950 Acc. rate = 84.00% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 96553.0132, ESS = 902 Acc. rate = 79.60% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 85434.2782, ESS = 856 Acc. rate = 74.53% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 78284.2521, ESS = 813 Acc. rate = 73.43% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 74006.6258, ESS = 772 Acc. rate = 71.63% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 70935.3801, ESS = 733 Acc. rate = 69.85% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 68675.7947, ESS = 696 Acc. rate = 64.80% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67271.2890, ESS = 661 Acc. rate = 67.62% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 65580.9393, ESS = 628 Acc. rate = 63.06% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64428.2069, ESS = 596 Acc. rate = 60.07% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63745.3030, ESS = 566 Acc. rate = 63.43% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 62694.6006, ESS = 537 Acc. rate = 56.24% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 61861.4035, ESS = 510 Acc. rate = 56.27% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61385.8296, ESS = 1000 Acc. rate = 55.90% Uniqueness rate particules = 88.9% Uniqueness rate components = 88.9% Global parameters uniqueness rate = 88.9%

Iteration 15: Espilon = 60934.3282, ESS = 950 Acc. rate = 57.37% Uniqueness rate particules = 96.4% Uniqueness rate components = 96.4% Global parameters uniqueness rate = 96.4%

Iteration 16: Espilon = 60437.9949, ESS = 902 Acc. rate = 56.65% Uniqueness rate particules = 97.4% Uniqueness rate components = 97.4% Global parameters uniqueness rate = 97.4%

Iteration 17: Espilon = 59829.8272, ESS = 856 Acc. rate = 54.32% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 18: Espilon = 59283.2015, ESS = 813 Acc. rate = 51.66% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 19: Espilon = 58395.7029, ESS = 772 Acc. rate = 55.31% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 20: Espilon = 57388.0925, ESS = 733 Acc. rate = 57.98% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 21: Espilon = 56254.9474, ESS = 696 Acc. rate = 56.18% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 22: Espilon = 54987.4171, ESS = 661 Acc. rate = 58.40% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 23: Espilon = 53933.9150, ESS = 628 Acc. rate = 57.17% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 24: Espilon = 52643.7866, ESS = 596 Acc. rate = 51.34% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 25: Espilon = 51329.9059, ESS = 566 Acc. rate = 52.65% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 26: Espilon = 50173.6153, ESS = 537 Acc. rate = 54.38% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 27: Espilon = 48572.9959, ESS = 510 Acc. rate = 55.29% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Resampling... 483 unique particles left
Iteration 28: Espilon = 46318.8423, ESS = 1000 Acc. rate = 47.90% Uniqueness rate particules = 85.6% Uniqueness rate components = 85.6% Global parameters uniqueness rate = 85.6%

Iteration 29: Espilon = 45144.6299, ESS = 950 Acc. rate = 49.47% Uniqueness rate particules = 93.7% Uniqueness rate components = 93.7% Global parameters uniqueness rate = 93.7%

